0.3 -49.4691 -25.8553 -25.7881 -25.741 -8.7574 -8.7301 1.0584 1.7673 2.5412 2.6844 2.7025 2.9414 7.9263 9.2391 9.4158 9.9966 10.4565
0.31 -49.4692 -25.8573 -25.7846 -25.7413 -8.7655 -8.7332 1.0157 1.7602 2.5468 2.6764 2.8135 2.9656 7.8317 9.2678 9.4504 10.0164 10.4798
0.32 -49.4693 -25.8592 -25.7813 -25.7415 -8.7733 -8.7362 0.977 1.7529 2.554 2.6684 2.921 2.9878 7.7411 9.2953 9.4818 10.0399 10.5004
0.33 -49.4694 -25.8608 -25.7783 -25.7417 -8.7806 -8.7389 0.9424 1.7457 2.5623 2.6605 3.0077 3.023 7.6558 9.3214 9.5098 10.0659 10.5184
0.34 -49.4695 -25.8623 -25.7757 -25.7419 -8.7873 -8.7414 0.9122 1.739 2.5711 2.6531 3.0251 3.1177 7.5771 9.3456 9.5343 10.0931 10.5337
0.35 -49.4696 -25.8635 -25.7734 -25.7421 -8.7931 -8.7436 0.8864 1.7328 2.5796 2.6464 3.0398 3.2028 7.5064 9.3676 9.5552 10.1202 10.5465
0.36 -49.4697 -25.8645 -25.7715 -25.7423 -8.7981 -8.7454 0.8652 1.7276 2.5875 2.6407 3.052 3.2762 7.4455 9.3867 9.5724 10.1456 10.5569
0.37 -49.4697 -25.8654 -25.7699 -25.7424 -8.802 -8.7468 0.8485 1.7233 2.5941 2.636 3.0614 3.336 7.3961 9.4023 9.5858 10.1679 10.5648
0.38 -49.4697 -25.8659 -25.7688 -25.7425 -8.8049 -8.7479 0.8366 1.7202 2.5991 2.6326 3.0681 3.3802 7.3595 9.4139 9.5955 10.1852 10.5704
0.39 -49.4698 -25.8663 -25.7682 -25.7425 -8.8066 -8.7485 0.8295 1.7182 2.6022 2.6305 3.0721 3.4074 7.3369 9.4211 9.6012 10.1962 10.5738
0.4 -49.4698 -25.8664 -25.7679 -25.7426 -8.8072 -8.7488 0.8271 1.7176 2.6033 2.6297 3.0735 3.4166 7.3293 9.4235 9.6032 10.2001 10.5748
0.41 -49.4698 -25.8664 -25.7679 -25.7426 -8.808 -8.748 0.8268 1.7146 2.5869 2.6506 3.0722 3.418 7.3291 9.4235 9.6031 10.1991 10.5758
0.42 -49.4698 -25.8664 -25.7679 -25.7426 -8.8102 -8.7457 0.826 1.7059 2.5662 2.6845 3.0687 3.4221 7.3283 9.4235 9.6029 10.1963 10.5785
0.43 -49.4698 -25.8664 -25.7679 -25.7426 -8.8135 -8.7423 0.8248 1.6917 2.5493 2.7226 3.063 3.4288 7.327 9.4235 9.6026 10.1916 10.583
0.44 -49.4698 -25.8664 -25.7679 -25.7426 -8.8175 -8.738 0.8231 1.6729 2.5368 2.7636 3.0555 3.4376 7.3254 9.4235 9.6022 10.1854 10.5892
0.45 -49.4698 -25.8664 -25.7679 -25.7426 -8.8219 -8.7333 0.8211 1.6502 2.5284 2.8067 3.0467 3.448 7.3232 9.4235 9.6017 10.1776 10.5969
0.46 -49.4698 -25.8664 -25.7679 -25.7426 -8.8266 -8.7284 0.8189 1.6244 2.5238 2.8511 3.0368 3.4597 7.3205 9.4234 9.6011 10.1685 10.6058
0.47 -49.4698 -25.8664 -25.7679 -25.7426 -8.8314 -8.7233 0.8164 1.5966 2.5225 2.896 3.0265 3.4722 7.3175 9.4234 9.6004 10.1584 10.6159
0.48 -49.4698 -25.8664 -25.7679 -25.7426 -8.8361 -8.7183 0.8139 1.5675 2.5238 2.9407 3.0158 3.4851 7.3142 9.4234 9.5996 10.1474 10.6268
0.49 -49.4698 -25.8664 -25.7679 -25.7426 -8.8406 -8.7134 0.8115 1.5379 2.5273 2.9845 3.0052 3.4982 7.3106 9.4234 9.5987 10.1359 10.6382
0.5 -49.4698 -25.8664 -25.7679 -25.7426 -8.8449 -8.7087 0.8091 1.5086 2.5324 2.9948 3.0269 3.511 7.3068 9.4233 9.5978 10.1243 10.6497
0.51 -49.4698 -25.8664 -25.7679 -25.7426 -8.849 -8.7043 0.8069 1.4802 2.5385 2.985 3.0671 3.5233 7.3029 9.4233 9.5969 10.1126 10.6611
0.52 -49.4698 -25.8664 -25.7679 -25.7426 -8.8527 -8.7002 0.8049 1.4533 2.5453 2.9758 3.1047 3.535 7.299 9.4233 9.5959 10.1014 10.6719
0.53 -49.4698 -25.8664 -25.7679 -25.7426 -8.8561 -8.6965 0.8032 1.4284 2.5524 2.9674 3.1391 3.5457 7.2952 9.4232 9.595 10.0907 10.682
0.54 -49.4698 -25.8664 -25.7679 -25.7426 -8.859 -8.6932 0.8017 1.4058 2.5592 2.9599 3.1699 3.5553 7.2917 9.4232 9.5941 10.081 10.691
0.55 -49.4698 -25.8664 -25.7679 -25.7426 -8.8616 -8.6904 0.8006 1.3861 2.5656 2.9534 3.1968 3.5638 7.2885 9.4231 9.5933 10.0722 10.6988
0.56 -49.4698 -25.8664 -25.7679 -25.7426 -8.8637 -8.6881 0.7997 1.3694 2.5712 2.9479 3.2192 3.5708 7.2857 9.4231 9.5926 10.0649 10.7052
0.57 -49.4698 -25.8664 -25.7679 -25.7426 -8.8653 -8.6862 0.7991 1.3562 2.5758 2.9437 3.237 3.5764 7.2835 9.4231 9.592 10.059 10.7102
0.58 -49.4698 -25.8664 -25.7679 -25.7426 -8.8665 -8.6849 0.7987 1.3466 2.5792 2.9406 3.2498 3.5805 7.2818 9.4231 9.5916 10.0546 10.7138
0.59 -49.4698 -25.8664 -25.7679 -25.7426 -8.8672 -8.6841 0.7984 1.3407 2.5813 2.9387 3.2576 3.5829 7.2807 9.4231 9.5913 10.0519 10.7159
0.6 -49.4698 -25.8664 -25.7679 -25.7426 -8.8675 -8.6838 0.7984 1.3388 2.5821 2.9381 3.2602 3.5838 7.2804 9.4231 9.5913 10.0511 10.7166
0.61 -49.4698 -25.8656 -25.7678 -25.7428 -8.87 -8.6891 0.8126 1.3433 2.5861 2.9416 3.2562 3.5856 7.2861 9.4164 9.5764 10.049 10.6966
0.62 -49.4701 -25.8633 -25.7672 -25.7433 -8.8776 -8.7046 0.855 1.357 2.5974 2.9518 3.2451 3.5913 7.3032 9.3967 9.5342 10.0427 10.6398
0.63 -49.4704 -25.8596 -25.7664 -25.7442 -8.8902 -8.7296 0.9241 1.3801 2.6134 2.9684 3.2298 3.601 7.3312 9.3645 9.4703 10.0325 10.5537
0.64 -49.4709 -25.8544 -25.7652 -25.7453 -8.908 -8.7628 1.0174 1.413 2.6305 2.9906 3.2149 3.6149 7.3695 9.3209 9.3922 10.0187 10.4466
0.65 -49.4714 -25.848 -25.7638 -25.7468 -8.9313 -8.8021 1.1311 1.4561 2.6444 3.0175 3.2061 3.6334 7.4175 9.2672 9.3067 10.0017 10.3262
0.66 -49.4721 -25.8405 -25.7621 -25.7485 -8.9611 -8.8447 1.2595 1.5099 2.6527 3.0479 3.2087 3.6572 7.4741 9.2047 9.2194 9.9824 10.1993
0.67 -49.4729 -25.8321 -25.7602 -25.7505 -8.9984 -8.8874 1.3943 1.5747 2.6583 3.0802 3.2247 3.6866 7.5383 9.1342 9.1348 9.9613 10.072
0.68 -49.4737 -25.823 -25.7581 -25.7526 -9.044 -8.9272 1.5244 1.6494 2.6717 3.1127 3.252 3.7224 7.6092 9.0533 9.0591 9.9393 9.9499
0.69 -49.4746 -25.8134 -25.756 -25.7548 -9.0964 -8.9632 1.6408 1.726 2.7101 3.1441 3.2859 3.7649 7.6852 8.9773 8.9788 9.8385 9.9174
0.7 -49.4755 -25.8034 -25.757 -25.7537 -9.153 -8.9959 1.7414 1.7897 2.791 3.1728 3.3211 3.8139 7.7647 8.8954 8.9056 9.7431 9.8965
0.71 -49.4764 -25.7935 -25.7593 -25.7515 -9.2107 -9.026 1.7948 1.8642 2.9207 3.1981 3.3529 3.8688 7.8457 8.8101 8.8364 9.6688 9.8774
0.72 -49.4773 -25.7838 -25.7615 -25.7493 -9.2674 -9.0538 1.7927 1.964 3.0904 3.2194 3.3781 3.9283 7.9259 8.7244 8.7676 9.6197 9.8608
0.73 -49.4781 -25.7746 -25.7635 -25.7473 -9.3211 -9.0792 1.7672 2.0684 3.2369 3.2803 3.3981 3.9905 8.0032 8.6402 8.698 9.598 9.8474
0.74 -49.4788 -25.7667 -25.7648 -25.7454 -9.3703 -9.102 1.7311 2.1738 3.2507 3.3823 3.5046 4.0528 8.0751 8.5595 8.6274 9.6028 9.8372
0.75 -49.4795 -25.7674 -25.7583 -25.7437 -9.4139 -9.1219 1.6922 2.2775 3.2612 3.3797 3.7009 4.1125 8.1395 8.4847 8.5573 9.6306 9.8301
0.76 -49.4801 -25.7688 -25.7518 -25.7422 -9.4509 -9.1387 1.6556 2.3762 3.2691 3.3624 3.8868 4.1668 8.1947 8.4183 8.4909 9.6748 9.8256
0.77 -49.4806 -25.7699 -25.7465 -25.741 -9.4805 -9.1521 1.6245 2.4653 3.2746 3.3374 4.0472 4.2127 8.2385 8.3632 8.4328 9.7262 9.8232
0.78 -49.4809 -25.7708 -25.7426 -25.7402 -9.502 -9.1618 1.601 2.5386 3.2783 3.3105 4.1712 4.2477 8.2688 8.3216 8.3884 9.7747 9.8221
0.79 -49.4811 -25.7713 -25.7403 -25.7397 -9.5151 -9.1677 1.5864 2.5881 3.2804 3.289 4.2499 4.2696 8.2836 8.2958 8.3634 9.8096 9.8218
0.8 -49.4812 -25.7715 -25.7395 -25.7395 -9.5195 -9.1697 1.5814 2.6058 3.2807 3.281 4.2769 4.277 8.2867 8.287 8.3566 9.8216 9.8222
0.81 -49.4812 -25.7715 -25.7395 -25.7395 -9.5212 -9.1677 1.5704 2.6191 3.2803 3.2807 4.2774 4.2776 8.2868 8.2871 8.3557 9.821 9.8216
0.82 -49.4812 -25.7715 -25.7395 -25.7395 -9.5264 -9.1619 1.5392 2.6572 3.2794 3.2798 4.279 4.2791 8.287 8.2873 8.3527 9.8191 9.8197
0.83 -49.4812 -25.7715 -25.7395 -25.7395 -9.5344 -9.1527 1.492 2.7158 3.2778 3.2782 4.2815 4.2817 8.2873 8.2876 8.3481 9.8158 9.8164
0.84 -49.4812 -25.7715 -25.7395 -25.7395 -9.5448 -9.1407 1.4339 2.7897 3.2756 3.276 4.285 4.2851 8.2877 8.288 8.3417 9.8115 9.8121
0.85 -49.4812 -25.7715 -25.7395 -25.7395 -9.557 -9.1266 1.3693 2.8743 3.273 3.2733 4.2892 4.2894 8.2882 8.2885 8.3335 9.8059 9.8065
0.86 -49.4812 -25.7715 -25.7395 -25.7395 -9.5703 -9.1111 1.3014 2.9659 3.2699 3.2703 4.2942 4.2944 8.2889 8.2892 8.3235 9.7995 9.8002
0.87 -49.4812 -25.7715 -25.7395 -25.7395 -9.5842 -9.0946 1.2327 3.0617 3.2665 3.2668 4.2998 4.3 8.2897 8.29 8.3117 9.7924 9.7931
0.88 -49.4812 -25.7715 -25.7395 -25.7395 -9.5984 -9.0778 1.165 3.1593 3.2628 3.2632 4.3058 4.306 8.2905 8.2908 8.2983 9.7848 9.7854
0.89 -49.4812 -25.7715 -25.7395 -25.7395 -9.6123 -9.061 1.0997 3.2568 3.259 3.2594 4.3121 4.3123 8.2833 8.2914 8.2917 9.7767 9.7774
0.9 -49.4812 -25.7715 -25.7395 -25.7395 -9.6258 -9.0445 1.0378 3.2552 3.2555 3.3526 4.3185 4.3187 8.267 8.2923 8.2926 9.7685 9.7692
0.91 -49.4812 -25.7715 -25.7395 -25.7395 -9.6385 -9.0288 0.98 3.2513 3.2517 3.4452 4.3249 4.3251 8.2497 8.2933 8.2936 9.7602 9.7609
0.92 -49.4812 -25.7715 -25.7395 -25.7395 -9.6504 -9.014 0.927 3.2477 3.248 3.533 4.3311 4.3313 8.2317 8.2942 8.2945 9.7522 9.7529
0.93 -49.4812 -25.7715 -25.7395 -25.7395 -9.6612 -9.0005 0.8792 3.2442 3.2445 3.6147 4.3369 4.3371 8.2136 8.295 8.2953 9.7446 9.7453
0.94 -49.4812 -25.7715 -25.7395 -25.7395 -9.6707 -8.9883 0.8371 3.241 3.2413 3.689 4.3423 4.3425 8.196 8.2958 8.2961 9.7378 9.7384
0.95 -49.4812 -25.7715 -25.7395 -25.7395 -9.679 -8.9778 0.801 3.2382 3.2385 3.7544 4.347 4.3473 8.1793 8.2965 8.2968 9.7315 9.7321
0.96 -49.4812 -25.7715 -25.7395 -25.7395 -9.6859 -8.969 0.7711 3.2358 3.2361 3.8099 4.3511 4.3513 8.1644 8.2971 8.2974 9.7262 9.7268
0.97 -49.4812 -25.7715 -25.7395 -25.7395 -9.6913 -8.962 0.7476 3.2339 3.2342 3.8544 4.3544 4.3546 8.152 8.2976 8.2979 9.7219 9.7226
0.98 -49.4812 -25.7715 -25.7395 -25.7395 -9.6952 -8.9569 0.7307 3.2326 3.2329 3.8869 4.3567 4.357 8.1426 8.2979 8.2982 9.7189 9.7196
0.99 -49.4812 -25.7715 -25.7395 -25.7395 -9.6976 -8.9538 0.7206 3.2317 3.232 3.9067 4.3582 4.3585 8.1369 8.2981 8.2984 9.717 9.7177
1.0 -49.4812 -25.7715 -25.7395 -25.7395 -9.6984 -8.9528 0.7172 3.2314 3.2317 3.9133 4.3587 4.3589 8.1349 8.2982 8.2985 9.7164 9.717
